Style;Per;Rock;Metal;Rap;RapUS;RapFR;Elect;ChansFR;Influ;Conf;SurC;SousC;Disp;Improb;Manq;Prof;Guerin;Genr;Cat;Age;Honnet;Avis
ChansonF;80s;Queen;Metallica;FR;Eminem;Jul;Boum;Banabar;Beyonce;Beyonce;Maneskin;ColdPlay;BackMet;Austropop;Profond;GuerinBass;BFF;Femme;3A;20-24;Oui;HaHa
Rap;00s;Queen;Ramstein;US;Eminem;Jul;Oreilles;Banabar;MJackson;Beyonce;PinkFloyd;TameImp;Kpop ;Trallpunk;Profond;TolonAccord;Bouzin;Femme;3A;20-24;Oui;PasStat
PopRock;80s;Queen;IronMaiden;US;Eminem;Orelsan;Oreilles;Banabar;MJackson;Beyonce;DaftPunk;Maneskin;ChantAmphi;Folktronica;Profond;GuerinBass;Bouzin;WTF;3A;20-24;Oui;PasStat
Rap;00s;ACDC;Metallica;FR;Eminem;JoeySt;Boum;Banabar;MJackson;Beyonce;Maneskin;DaftPunk;Techno;Austropop;Profond;GuerinBass;BFF;Femme;Autre;20-24;Oui;HaHa
PopRock;90s;ACDC;IronMaiden;US;SnoopD;Lorenzo;Boum;Mae;MJackson;Beyonce;DaftPunk;PinkFloyd;Kpop ;Psychobilly;Notes;PayetDblKick;FadeBeurDx;Homme;3A;20-24;Oui;PasStat
PopRock;70s;Queen;Metallica;US;Eminem;Orelsan;Coeur;Stromae;Bowie;Bowie;Maneskin;Queen;Reggaeton;Psychobilly;Notes;GuerinBass;NoComment;Homme;3A;20-24;Oui;HaHa
Rap;00s;GunsRoses;Metallica;US;Eminem;Jul;Soiree;Dassin;MJackson;Beyonce;Queen;DaftPunk;ChantAmphi;Psychobilly;Profond;PayetDblKick;FadeBeurDx;WTF;3A;20-24;Oui;Offens
JazzSoul;60s;GunsRoses;Ramstein;FR;Eminem;Orelsan;Soiree;Saez;Dylan;Dylan;PinkFloyd;Maneskin;ChantAmphi;Ziglibithy;Profond;GuerinBass;Bouzin;Femme;3A;20-24;Non;HaHa
Rap;80s;Queen;Metallica;US;Eminem;Orelsan;Boum;Stromae;Cobain;Bowie;DaftPunk;Queen;Kpop ;Ziglibithy;Swag;SarrazSynth;ConnaisPas;WTF;Autre;20-24;Oui;Boomers
Electro;80s;Queen;Metallica;FR;SnoopD;Jul;Oreilles;Mae;Madonna;Madonna;DaftPunk;Beatles;ChantAmphi;Austropop;Profond;TolonAccord;Bouzin;Homme;3A;20-24;Oui;Boomers
PopRock;90s;Queen;Metallica;US;Eminem;Orelsan;Soiree;Stromae;MJackson;Beyonce;ColdPlay;Beatles;OperaRock;Austropop;Profond;GuerinBass;NoComment;WTF;3A;20-24;Oui;Boomers
PopRock;00s;Queen;Motorhead;US;Eminem;Orelsan;Coeur;Saez;Madonna;Madonna;Beatles;DaftPunk;BackMet;Folktronica;Profond;BillyVoix;NoComment;Femme;3A;20-24;Oui;HaHa
PopRock;80s;Queen;Metallica;US;Eminem;Orelsan;Soiree;Stromae;MJackson;Beyonce;DaftPunk;Queen;BackMet;Psychobilly;Profond;BillyVoix;ConnaisPas;Femme;3A;20-24;Oui;Nimp
ChansonF;80s;ACDC;Metallica;FR;SnoopD;Jul;Soiree;Banabar;MJackson;Madonna;Queen;Nirvana;ChantAmphi;Trallpunk;Folie;GuerinBass;BFF;Homme;3A;20-24;Oui;PasStat
Electro;80s;Queen;Metallica;FR;SnoopD;Jul;Coeur;Stromae;Madonna;Hendrix;Beatles;ColdPlay;OperaRock;Ziglibithy;Joie;PayetDblKick;FadeBeurDx;Homme;3A;20-24;Oui;HaHa
PopRock;00s;PinkFloyd;Metallica;US;Eminem;Orelsan;Soiree;Sardou;MJackson;Beyonce;ColdPlay;Maneskin;Kpop ;Psychobilly;Notes;TolonAccord;BFF;Femme;3A;15-19;Oui;PasStat
ChansonF;70s;Queen;IronMaiden;FR;Eminem;Booba;Oreilles;Dassin;MJackson;MJackson;ColdPlay;Beatles;BackMet;Chiptune;Notes;TolonAccord;NoComment;WTF;3A;20-24;Oui;HaHa
Electro;90s;Nirvana;Ramstein;FR;50Cent;Orelsan;Soiree;Saez;Bowie;Beyonce;ColdPlay;PinkFloyd;Kpop ;Psychobilly;Folie;GuerinBass;FadeBeurDx;WTF;3A;20-24;Oui;Boomers
Indie;80s;Queen;BlackSab;US;KanyeW;Orelsan;Coeur;Stromae;MJackson;Beyonce;Maneskin;Beatles;Reggaeton;Trallpunk;Profond;SarrazSynth;FadeBeurDx;Homme;3A;20-24;Non;HaHa
PopRock;80s;RollingSt;IronMaiden;US;Eminem;Booba;Soiree;Dassin;Beyonce;Madonna;ColdPlay;TameImp;BackMet;Folktronica;Folie;BillyVoix;Bouzin;Femme;3A;20-24;Oui;Boomers
ChansonF;90s;Queen;Metallica;FR;KanyeW;Orelsan;Boum;Dassin;Bowie;Dylan;Beatles;PinkFloyd;Techno;Folktronica;Profond;SarrazSynth;FadeBeurDx;Femme;3A;20-24;Oui;HaHa
Rap;00s;Nirvana;Metallica;FR;Eminem;PNL;Oreilles;Mae;MJackson;Cobain;Beatles;Maneskin;RapVersail;Psychobilly;Folie;TolonAccord;NoComment;WTF;3A;20-24;Oui;Boomers
Rap;10s;RollingSt;Metallica;FR;XXXTent;Orelsan;Oreilles;Stromae;MJackson;MJackson;Beatles;ColdPlay;Kpop ;Psychobilly;Profond;PayetDblKick;NoComment;Homme;3A;20-24;Oui;Boomers
